"Product ID","Average Price","Price","Price Table","Status","Card Type","Related Image","Related Image Alt","Related Image Caption","Body","Related File","Type","Created date","Updated date","design form","Product Type","SKU","Price Table Amount","Price Table Quantity","Title","Packaging","summary"
"6","","$124.00","
 <tr><th>Quantity</th><th>1 - 9</th><th>10 - 24</th><th>25 - 49</th><th>50 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$124.00</td><td>$115.00</td><td>$109.00</td><td>$104.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/united-we-stand-candy-bar-fundraiser_0.png","United We Stand Candy Bar Fundraiser vwc-45200","United We Stand Candy Bar Fundraiser","<p>United We Stand candy bars are peanut-free and include our 3 most popular flavors: Creamy Caramel, Milk Chocolate Almond and Crispy Rice.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr>
<td>1-9</td>
<td>$124</td>
<td>40%</td>
<td>$88</td>
</tr>
<tr>
<td>10-24</td>
<td>$115</td>
<td>45%</td>
<td>$93</td>
</tr>
<tr>
<td>25-49</td>
<td>$109</td>
<td>48%</td>
<td>$99</td>
</tr>
<tr>
<td>50+</td>
<td>$104</td>
<td>50%</td>
<td>$104</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 208 units per case (4 inner carriers of 52). <a title=""Carrier contents"" rel=""lightframe"" href=""/united-we-stand-candy-bar-flavors"">Carrier contents</a><br /><strong>Unit Size:</strong> 1.5 oz.<br /><strong>Average Price:</strong> $1.00<br /><strong>Delivery: </strong>3-7 business days. <a rel=""lightframe"" href=""/candy-bar-shipping"">Free Shipping</a></p>
","","Product","1320337660","1566835231","","118","vwc-45200","12400 ","","United We Stand Candy Bars","","Maximize your profit. Promote our top 3 selling $1.00 candy bar flavors.<a class=""button"" href=""/candy-bar-fundraisers/united-we-stand-candy-bars"">Learn more </a>"
"20","","$160.00","
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$160.00</td><td>$153.00</td><td>$147.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/easter-joy-lollipop-fundraiser_0.png","Easter Joy Lollipop Fundraiser cc-022518","Easter Joy Lollipop Fundraiser","<p>Easter Joy lollipops are great for Easter egg hunts and basket stuffers. These lollipops come in 3 joyful shapes: Chick 'n Egg, Bunny and Egg.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr align=""left"">
<td>1-4</td>
<td>$160</td>
<td>50%</td>
<td>$160</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$153</td>
<td>52%</td>
<td>$167</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$147</td>
<td>54%</td>
<td>$173</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 units per case (16 inner bags of 40). <a title=""Flavors"" rel=""lightframe"" href=""/easter-joy-lollipop-flavors"">Flavors</a><br /><strong>Unit Size: </strong>1.0 oz.<br /><strong>Average Price:</strong> 50¢<br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/lollipop-shipping"">Free shipping</a></p>
","","Product","1320413554","1566831357","","117","cc-022518","16000 ","","Easter Joy Lollipops","","The perfect Easter basket filler. Shaped in Chick 'n Egg, bunny, and egg."
"24","","$160.00","
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$160.00</td><td>$153.00</td><td>$147.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/sugarfree_web-edit3.jpg","","","<p>Sugar free lollipops can make your group up to 54% profit with <a title=""free shipping"" href=""/resource/lollipop-shipping-information"">free shipping</a> on all orders!</p>
<h3><strong>Pricing & Profit:</strong></h3>
<table border=""0"">
<thead>
<tr align=""center"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>You Make</td>
</tr>
</thead>
<tr align=""left"">
<td>1-4</td>
<td>$160</td>
<td>50%</td>
<td>$160-$640</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$153</td>
<td>52%</td>
<td>$835-$1,503</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$147</td>
<td>54%</td>
<td>$1,730+</td>
</tr>
</table>
<h3><strong>Product Details:</strong></h3>
<ul>
<li><strong>Minimum Order: </strong>1 Case</li>
<li><strong>Packaging: </strong>640 Lollipops/Case <em>(16 inner bags of 40)</em></li>
<li><strong>Size: </strong>1.0 oz. Lollipops</li>
<li><strong>Average Price: </strong>50¢</li>
</ul>
<table border=""0"">
<tr align=""center"">
<td colspan=""2"">Sugar Free Lollipop Flavors</td>
</tr>
<tr>
<td>Bubble Gum</td>
<td>Citrus Apple</td>
</tr>
<tr>
<td>Watermelon</td>
<td>Cherry</td>
</tr>
<tr>
<td>Green Apple</td>
<td>Cherry Lemonade</td>
</tr>
<tr>
<td>Mandarin</td>
<td></td>
</tr>
</table>
<h3><strong>What you need to know:</strong></h3>
<ul>
<li>Your order is processed within 2 business days</li>
<li>Free shipping on reorders</li>
<li><a title=""Questions about lollipops?"" href=""/resource/answers-questions-about-lollipops"">Questions about lollipops?</a></li>
</ul>
<h3>Additional Information:</h3>
","https://bigfundraisingideas.com/sites/default/files/gourmet_lollipop_overview_3.pdf, https://bigfundraisingideas.com/sites/default/files/nutritional_info_-_sugar_free.pdf, https://bigfundraisingideas.com/sites/default/files/purchase_order_form_22.pdf, https://bigfundraisingideas.com/sites/default/files/sales_tracking_sheet_11.pdf","Product","1320414154","1566834700","","117","cc-02258","16000 ","","Sugar Free Lollipops","",""
"25","","$320.00","
 <tr><th>Quantity</th><th>1 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$320.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/hope-ribbon-lollipop-fundraiser_0.png","Hope Ribbon Lollipop Fundraiser cc-022617","Hope Ribbon Lollipop Fundraiser","<p>Hope Ribbon lollipops raise money as well as breast cancer awareness. A portion of the sale will be donated to a cancer research organization.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr align=""left"">
<td>1+</td>
<td>$320</td>
<td>50%</td>
<td>$320</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 units per case (16 inner bags of 40). <a title=""Flavors"" rel=""lightframe"" href=""/hope-ribbon-lollipop-flavors"">Flavors</a><br /><strong>Unit Size: </strong>1.0 oz.<br /><strong>Average Price:</strong> $1.00<br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/lollipop-shipping"">Free shipping</a></p>
","","Product","1320414265","1566832034","","117","cc-022617","32000 ","","Hope Ribbon Lollipops","","Increase breast cancer awareness. A portion of the sale is donated to cancer research."
"28","","$120.00","
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$120.00</td><td>$115.00</td><td>$111.50</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/yummyvalentinelarge-edit3.jpg","","","<p>‘Yummy Valentine’ jumbo lollipops come in cherry flavor and can make your group up to 54% profit with <a title=""free shipping"" href=""/resource/lollipop-shipping-information"">free shipping</a> on all orders!</p>
<h3><strong>Pricing & Profit:</strong></h3>
<table border=""0"">
<thead>
<tr align=""center"" valign=""middle"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>You Make</td>
</tr>
</thead>
<tr align=""left"">
<td>1-4</td>
<td>$120</td>
<td>50%</td>
<td>$120-$480</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$115</td>
<td>52%</td>
<td>$625-$1,125</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$111.50</td>
<td>54%</td>
<td>$1,250+</td>
</tr>
</table>
<h3><strong>Product Details:</strong></h3>
<ul>
<li><strong>Minimum Order: </strong>1 Case</li>
<li><strong>Packaging: </strong>240 Lollipops/Case <em>(24 inner carriers of 10)</em></li>
<li><strong>Size: </strong>1.58 oz. Lollipops</li>
<li><strong>Average Price: </strong>$1.00</li>
</ul>
<h3><strong>What you need to know:</strong></h3>
<ul>
<li>Your order is processed within 2 business days</li>
<li>Free shipping on reorders</li>
<li><a title=""Questions about lollipops?"" href=""/resource/answers-questions-about-lollipops"">Questions about lollipops?</a></li>
</ul>
<h3>Additional Information:</h3>
","https://bigfundraisingideas.com/sites/default/files/jumbo_lollipop_overview.pdf, https://bigfundraisingideas.com/sites/default/files/nutritional_info_-_yummy_valentine_jumbo.pdf, https://bigfundraisingideas.com/sites/default/files/purchase_order_form_27.pdf, https://bigfundraisingideas.com/sites/default/files/sales_tracking_sheet_16.pdf, https://bigfundraisingideas.com/sites/default/files/seasonal_lollipop_overview_5.pdf","Product","1320415535","1566835799","","117","cc-022648","12000 ","","Yummy Valentine Lollipops","",""
"29","","$120.00","
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$120.00</td><td>$115.00</td><td>$111.50</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/yummy-swirl-pops-fundraiser_0.png","Yummy Swirl Pops Fundraiser cc-022655","Yummy Swirl Pops Fundraiser","<p>Yummy Swirl Pops are our largest lollipops and come exclusively in sour apple flavor.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr align=""left"">
<td>1-4</td>
<td>$120.00</td>
<td>50%</td>
<td>$120</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$115.00</td>
<td>52%</td>
<td>$125</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$111.50</td>
<td>54%</td>
<td>$128.50</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 240 units per case (24 inner carriers of 10).<br /><strong>Unit Size: </strong>1.58 oz.<br /><strong>Average Price:</strong> $1.00<br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/lollipop-shipping"">Free shipping</a></p>
","","Product","1320415705","1566835750","","117","cc-022655","12000 ","","Yummy Swirl Pops","","Make more by selling less. These jumbo-sized lollipops come in sour apple flavor.<a class=""button"" href=""/lollipop-fundraisers/yummy-swirl-pops"">Learn more </a>"
"30","","$160.00","
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$160.00</td><td>$153.00</td><td>$147.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/red-ribbon-lollipop-fundraiser_1.png","Red Ribbon Lollipop Fundraising Product cc-022686","Red Ribbon Lollipop Fundraising Product","<p>Red Ribbon lollipops are a sweet way to reinforce the “Just Say No” to drugs message.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr align=""left"">
<td>1-4</td>
<td>$160</td>
<td>50%</td>
<td>$160</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$153</td>
<td>52%</td>
<td>$167</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$147</td>
<td>54%</td>
<td>$173</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 units per case (16 inner bags of 40). <a title=""Flavors"" rel=""lightframe"" href=""/red-ribbon-lollipop-flavors"">Flavors</a><br /><strong>Unit Size: </strong>1.0 oz.<br /><strong>Average Price:</strong> 50¢<br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/lollipop-shipping"">Free shipping</a></p>
","","Product","1320416030","1566833842","","117","cc-022686","16000 ","","Red Ribbon Lollipops","","Support the “Just Say No to Drugs” message with our red ribbon-shaped lollipops."
"32","10","$144.00","
 <tr><th>Quantity</th><th>1 - 9</th><th>10 - 24</th><th>25 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$144.00</td><td>$132.00</td><td>$120.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/classic-caramel-popcorn-fundraiser_0.png","Classic Caramel Popcorn Fundraising Product vwc-31014","Classic Caramel Popcorn Fundraising Product","<p>This favorite combines creamy butter and sweet brown sugar. Our mouth-watering Caramel Corn is the classic snack.</p>
<h2>Case Pricing</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tbody>
<tr>
<td>1-9</td>
<td>$144</td>
<td>40%</td>
<td>$96</td>
</tr>
<tr>
<td>10-24</td>
<td>$132</td>
<td>45%</td>
<td>$108</td>
</tr>
<tr>
<td>25+</td>
<td>$120</td>
<td>50%</td>
<td>$120</td>
</tr>
</tbody>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 24 items per case (4 inner boxes of 6 bags)<br /><strong>Item Size:</strong> 11 oz.<br /><strong>Selling Price:</strong> $10.00<br /><strong>Payment Options:</strong> <a title=""Learn more"" href=""/payment-options"" rel=""lightframe"">Learn more</a><br /><strong>Delivery:</strong> 7-10 business days. <a title=""Free shipping"" href=""/popcorn-shipping"" rel=""lightframe"">Free shipping</a></p>
","","Product","1320416512","1614466566","","119","vwc-31014","14400 ","","Classic Caramel Popcorn","24","Combine creamy butter with sweet brown sugar. Carmel Corn is the classic snack."
"35","","$96.00","
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$96.00</td><td>$88.00</td><td>$80.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/caramel-fudge-peanut-popcorn-fundraiser_1.png","Caramel Fudge Peanut Popcorn Fundraising Product vwc-31038","Caramel Fudge Peanut Popcorn Fundraising Product","<p>Encounter the unforgettable taste of Caramel Corn and peanuts coated in creamy fudge. Simply Irresistible.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr>
<td>1-4</td>
<td>$96.00</td>
<td>40%</td>
<td>$64</td>
</tr>
<tr>
<td>5-9</td>
<td>$88.00</td>
<td>45%</td>
<td>$72</td>
</tr>
<tr>
<td>10+</td>
<td>$80.00</td>
<td>50%</td>
<td>$80</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 16 units per case<br /><strong>Unit Size:</strong> 10 oz.<br /><strong>Average Price:</strong> $10.00<br /><strong>Delivery:</strong> 7-10 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/caramel-fudge-peanut-popcorn-shipping"">Free shipping</a></p>
","","Product","1320417064","1566830749","","119","vwc-31038","9600 ","","Caramel Fudge Peanut Popcorn","","The cherished taste of Caramel Corn and peanuts coated in creamy fudge."
"37","","$72.00","
 <tr><th>Quantity</th><th>1 - 9</th><th>10 - 24</th><th>25 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$72.00</td><td>$69.00</td><td>$66.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/1_oz_squatch_original_box.png","","","<p>Beef jerky offers a high-protein snack that is also low in sugar. ‘Original Squatch Sticks’ are made with real beef and pork along with a variety of spices that can make your group up to 45% profit with <a title=""free shipping"" href=""/resource/beef-jerky-shipping-information"">free shipping</a> on all orders!</p>
<h3><strong>Pricing & Profit:</strong></h3>
<table border=""0"">
<tr align=""center"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>You Make</td>
</tr>
<tr>
<td>1-9</td>
<td>$72</td>
<td>40%</td>
<td>$48-$432</td>
</tr>
<tr>
<td>10-24</td>
<td>$69</td>
<td>43%</td>
<td>$510-$1,224</td>
</tr>
<tr>
<td>25+</td>
<td>$66</td>
<td>45%</td>
<td>$1,350+</td>
</tr>
</table>
<h3><strong>Product Details:</strong></h3>
<ul>
<li><strong>Minimum Order:</strong> 1 Case</li>
<li><strong>Packaging:</strong> 120 Squatch Sticks/Case <em>(6 cartons of 20)</em></li>
<li><strong>Size:</strong> 1.0 oz. Squatch Sticks</li>
<li><strong>Average Price:</strong> $1.00</li>
</ul>
<h3><strong>What you need to know:</strong></h3>
<ul>
<li>Your order will ship in 7 days or less</li>
<li>Free shipping on reorders</li>
<li><a title=""Questions about beef jerky?"" href=""/resource/answers-questions-about-beef-jerky"">Questions about beef jerky?</a></li>
</ul>
<h3>Additional Information:</h3>
","https://bigfundraisingideas.com/sites/default/files/nutritional_info_-_original_squatch_stick_1.pdf, https://bigfundraisingideas.com/sites/default/files/purchase_order_form_34.pdf, https://bigfundraisingideas.com/sites/default/files/sales_tracking_sheet_22.pdf, https://bigfundraisingideas.com/sites/default/files/swatch_stick_overview.pdf","Product","1320686607","1566833543","","120","jl-10000004986","7200 ","","Original Squatch Stick","",""
"38","","$72.00","
 <tr><th>Quantity</th><th>1 - 9</th><th>10 - 24</th><th>25 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$72.00</td><td>$69.00</td><td>$66.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/1_oz_squatch_hot_box.png","","","<p>Beef jerky offers a high-protein snack that is also low in  sugar. ‘Hot Squatch Sticks’ are made with real beef and pork  along with a variety of Italian spices that can make your group up to 45% profit  with <a title=""free shipping"" href=""/resource/beef-jerky-shipping-information"">free shipping</a> on all orders!</p>
<h3><strong>Pricing & Profit:</strong></h3>
<table border=""0"">
<tr align=""center"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>You Make</td>
</tr>
<tr>
<td>1-9</td>
<td>$72</td>
<td>40%</td>
<td>$48-$432</td>
</tr>
<tr>
<td>10-24</td>
<td>$69</td>
<td>43%</td>
<td>$510-$1,224</td>
</tr>
<tr>
<td>25+</td>
<td>$66</td>
<td>45%</td>
<td>$1,350+</td>
</tr>
</table>
<h3><strong>Product Details:</strong></h3>
<ul>
<li><strong>Minimum Order:</strong> 1 Case</li>
<li><strong>Packaging:</strong> 120 Squatch Sticks/Case <em>(6 cartons of 20)</em></li>
<li><strong>Size:</strong> 1.0 oz. Squatch Sticks</li>
<li><strong>Average Price:</strong> $1.00</li>
</ul>
<h3><strong>What you need to know:</strong></h3>
<ul>
<li>Your order will ship in 7 days or less</li>
<li>Free shipping on reorders</li>
<li><a title=""Questions about beef jerky?"" href=""/resource/answers-questions-about-beef-jerky"">Questions about beef jerky?</a></li>
</ul>
<h3>Additional Information:</h3>
","https://bigfundraisingideas.com/sites/default/files/nutritional_info_-_hot_squatch_stick_1.pdf, https://bigfundraisingideas.com/sites/default/files/purchase_order_form_33.pdf, https://bigfundraisingideas.com/sites/default/files/sales_tracking_sheet_23.pdf, https://bigfundraisingideas.com/sites/default/files/squatch_stick_overview.pdf","Product","1320686794","1566832349","","120","jl-10000004985","7200 ","","Hot Squatch Stick","",""
"39","","$165.00","
 <tr><th>Quantity</th><th>1 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$165.00</td><td>$150.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/variety-meat-snacks-fundraiser.png","Variety Meat Snacks Fundraiser jl-10000005062","Variety Meat Snacks Fundraiser","<p>Variety Meat Snack Fundraising Kit offers 3 of our favorites including Squatch Sticks, Beef Sticks and Beef Steaks. Perfect for concession stands.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr>
<td>1-9</td>
<td>$165</td>
<td>40%</td>
<td>$111</td>
</tr>
<tr>
<td>10+</td>
<td>$150</td>
<td>45%</td>
<td>$126</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 188 units per case (2 inner kits of 94). <a title=""Kit contents"" rel=""lightframe"" href=""/variety-meat-snack-types"">Kit contents<br /></a><strong>Average Price:</strong> $1.00 & $2.00<br /><strong>Delivery:</strong> 10-14 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/beef-jerky-shipping"">Free shipping</a></p>
","","Product","1320687195","1566835383","","120","jl-10000005062","16500 ","","Variety Meat Snacks","","3 popular meat snacks, 1 beef jerky fundraiser. Perfect for concession stands."
"45","","$160.00","
 <tr><th>Quantity</th><th>1 - 4</th><th>5 - 9</th><th>10 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$160.00</td><td>$153.00</td><td>$147.00</td> </tr>


","0","","https://bigfundraisingideas.com/sites/default/files/baseball-lollipop-fundraiser_2.png","Baseball Lollipop Fundraising Product cc-022600","Baseball Lollipop Fundraising Product cc-022600","<p>Baseball lollipops are a big seller for sports groups like Little League and Pony Baseball.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cases</td>
<td>Cost/Case</td>
<td>Profit</td>
<td>Profit/Case</td>
</tr>
</thead>
<tr align=""left"">
<td>1-4</td>
<td>$160</td>
<td>50%</td>
<td>$160</td>
</tr>
<tr align=""left"">
<td>5-9</td>
<td>$153</td>
<td>52%</td>
<td>$167</td>
</tr>
<tr align=""left"">
<td>10+</td>
<td>$147</td>
<td>54%</td>
<td>$173</td>
</tr>
</table>
<h2>Product Details</h2>
<p><strong>Packaging:</strong> 640 units per case (16 inner bags of 40). <a title=""Flavors"" rel=""lightframe"" href=""/baseball-lollipop-flavors "">Flavors</a><br /><strong>Unit Size: </strong>1.0 oz.<br /><strong>Average Price:</strong> 50¢<br /><strong>Delivery:</strong> 3-7 business days. <a title=""Free shipping"" rel=""lightframe"" href=""/lollipop-shipping"">Free shipping</a></p>
","","Product","1320713373","1566830392","","117","cc-022600","16000 ","","Baseball Lollipops","","Celebrate America’s Pastime. Perfect for your next little league fundraiser."
"50","","$20.00","
 <tr><th>Quantity</th><th>10 - 24</th><th>25 - 99</th><th>100 - Unlimited</th> </tr>

 <tr class=""odd""><td>Price</td><td>$20.00</td><td>$15.00</td><td>$10.00</td> </tr>


","0","60scratch","https://bigfundraisingideas.com/sites/default/files/scratch-cards-60_0.png","Scratch Card - scratchcard--60scratch","60 Dot Scratch Card","<p>With our <cite>60 dot scratch cards</cite>, supporters make a $0 to $2.50 donation by  scratching off dots in exchange for brand name <a rel=""lightframe"" href=""/scratch-card-savings-coupons"">savings coupons</a>.</p>
<h2>Pricing & Profit</h2>
<table border=""0"">
<thead>
<tr align=""left"">
<td>Cards</td>
<td>Cost/Card</td>
<td>Profit</td>
<td>Profit/Card</td>
</tr>
</thead>
<tr>
<td>10-24</td>
<td>$20</td>
<td>80%</td>
<td>$80</td>
</tr>
<tr>
<td>25-99</td>
<td>$15</td>
<td>85%</td>
<td>$85</td>
</tr>
<tr>
<td>100+</td>
<td>$10</td>
<td>90%</td>
<td>$90</td>
</tr>
</table>
<p>Once order is processed, allow a minimum of 7 business days for delivery.</p>
<h2>Product Details</h2>
<ul>
<li>Each card folds into a 4” x 6” card with the scratch dots inside.</li>
<li>Your group name and picture is placed on the cover.</li>
<li><a rel=""lightframe"" href=""/questions-about-selling-scratch-cards"">Scratch Card Questions</a></li>
<li><a rel=""lightframe"" href=""/payment-options"">Payment Options</a></li>
<li><a rel=""lightframe"" href=""/scratch-card-shipping"">Free Shipping</a></li>
</ul>
","","Scatch Cards","1321563933","1449680172","","","scratchcard--60scratch","2000 ","","Scratch Card Fundraiser","","Our scratch card fundraisers make collecting donations easy. Make up to 90% profit."
